### sacct (since yesterday)  20260729_114720
JobID                     JobName      State ExitCode    Elapsed               Start                 End 
54678317_16         catalog_count  COMPLETED      0:0   00:05:26 2026-07-28T13:11:15 2026-07-28T13:16:41 
54678317_17         catalog_count  COMPLETED      0:0   00:04:58 2026-07-28T13:11:15 2026-07-28T13:16:13 
54678317_18         catalog_count  COMPLETED      0:0   00:06:44 2026-07-28T13:11:15 2026-07-28T13:17:59 
54678317_19         catalog_count  COMPLETED      0:0   00:02:34 2026-07-28T13:11:15 2026-07-28T13:13:49 
54678317_20         catalog_count  COMPLETED      0:0   00:14:17 2026-07-28T13:11:15 2026-07-28T13:25:32 
54678317_21         catalog_count  COMPLETED      0:0   00:03:00 2026-07-28T13:11:15 2026-07-28T13:14:15 
54678317_22         catalog_count  COMPLETED      0:0   00:12:01 2026-07-28T13:11:15 2026-07-28T13:23:16 
54678317_23         catalog_count  COMPLETED      0:0   00:10:54 2026-07-28T13:11:15 2026-07-28T13:22:09 
54678317_24         catalog_count  COMPLETED      0:0   00:03:55 2026-07-28T13:11:15 2026-07-28T13:15:10 
54678317_25         catalog_count  COMPLETED      0:0   00:05:22 2026-07-28T13:11:15 2026-07-28T13:16:37 
54678317_26         catalog_count  COMPLETED      0:0   00:14:27 2026-07-28T13:11:15 2026-07-28T13:25:42 
54678317_27         catalog_count  COMPLETED      0:0   00:01:45 2026-07-28T13:11:15 2026-07-28T13:13:00 
54678317_28         catalog_count  COMPLETED      0:0   00:03:14 2026-07-28T13:11:15 2026-07-28T13:14:29 
54678317_29         catalog_count  COMPLETED      0:0   00:11:14 2026-07-28T13:11:15 2026-07-28T13:22:29 
54678317_30         catalog_count  COMPLETED      0:0   00:07:30 2026-07-28T13:11:15 2026-07-28T13:18:45 
54678317_31         catalog_count  COMPLETED      0:0   00:04:35 2026-07-28T13:11:15 2026-07-28T13:15:50 
54678317_32         catalog_count  COMPLETED      0:0   00:14:12 2026-07-28T13:11:15 2026-07-28T13:25:27 
54678317_33         catalog_count  COMPLETED      0:0   00:11:23 2026-07-28T13:11:15 2026-07-28T13:22:38 
54678317_34         catalog_count  COMPLETED      0:0   00:14:41 2026-07-28T13:11:15 2026-07-28T13:25:56 
54678317_35         catalog_count  COMPLETED      0:0   00:08:33 2026-07-28T13:11:15 2026-07-28T13:19:48 
54678317_36         catalog_count  COMPLETED      0:0   00:06:35 2026-07-28T13:11:15 2026-07-28T13:17:50 
54678318                     wrap  COMPLETED      0:0   00:01:03 2026-07-28T13:31:23 2026-07-28T13:32:26 
54678321           smooth_r2_diag  COMPLETED      0:0   00:01:17 2026-07-28T16:53:24 2026-07-28T16:54:41 
54678323                     wrap  COMPLETED      0:0   00:00:42 2026-07-28T17:06:31 2026-07-28T17:07:13 
